"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Latvia","Inland waters","t","933","","843.2","","877.8","","889.5","","867.54","","956.21","","958.28","","1088.85","","1031.077","","1033.94","","1131.66",""
"Lebanon","Inland waters","t","1155","F","1225","F","1295","F","1365","F","1335","F","1205","F","1135","F","1035","F","1035","F","1035","F","1035","F"
"Lesotho","Inland waters","t","141","","152.6","","345.4","","345.37","","450.37","","550.43","","952.53","","1053","F","1102","F","1853","F","2552.46",""
"Liberia","Inland waters","t","823","","2270","F","2280","F","2290","F","2300","F","2330","F","1665","F","1480","F","1100","F","820","F","545",""
"Libya","Inland waters","t","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F"
"Lithuania","Inland waters","t","4608","","4736.6","","4500.99","","4753.61","","5194.96","","5671.88","","5054.8","","5887.17","","5602.74","","4840.07","","4676.09",""
"Madagascar","Inland waters","t","35460","F","35678","F","38380","F","34265","F","30630","","26769","","25773","F","29780.21","","34861","","41383","","20294.007",""
"Madagascar","Inland waters","no","2640","","2450","","0","-","0","-","0","-","0","-","3","","154","","500","","0","-","0","-"
"Malawi","Inland waters","t","71719","","70945","","100929","","85248","","128624","","115953","","120870.56","","146617","","160498.39","","211671.8","","230863",""
"Malawi","Inland waters","no","3370","","3105","","3250","","3600","","6063","","5373","","2784","","6246","","12097","","11840","","13100",""
"Malaysia","Inland waters","t","100396","","157300","","160143","","128100","","169298.61","","139032.56","","113751.376","","118569.13","","109696.207","","108273.93","","107859.07",""
"Malaysia","Inland waters","no","1043","","587","","861","","436","","1807","","1173","","2483","","3555","","5215","","4413","","5320",""
"Mali","Inland waters","t","100821","","101355","F","102083","F","110217","F","72216","F","101558.25","F","81953","","94880","","106680","F","110135","","94312",""
"Mali","Inland waters","no","0","-","0","-","0","-","15","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Martinique","Inland waters","t","10","","15","F","10","","10","","10","F","10","F","13.5","","13","F","13","F","8","F","9","F"
"Mauritania","Inland waters","t","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F","15000","F"
"Mauritius","Inland waters","t","60","","102.6","","65.1","","74.1","","74.8","","78.3","","70.5","","2.39","","3.32","","3.32","","3.4",""
"Mauritius","Inland waters","no","0",".","100","","0",".","0",".","150","","0","-","100","","0","-","0","-","0","-","0","-"
"Mexico","Inland waters","t","130470","","135364.641","","131634","","133418","","143481.619","","154912.026","","207861.235","","216286.67","","274869.52","","239501.354","","293822.372",""
"Mexico","Inland waters","no","724","","485","","0",".","184","","1314","","1300","","2031","","1296","","1640","","3000","","3917",""
"Micronesia, Fed.States of","Inland waters","t","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F","5","F"
"Moldova, Republic of","Inland waters","t","7836","F","8226","F","8844","F","9050","F","9130","F","9130","F","11050","","11216.05","","12061.4","","12133","","12580",""
"Mongolia","Inland waters","t","88","","90","","100","","80","","61","","55","F","49","","63","","15","","22","","25",""
"Montenegro","Inland waters","t","1151","","1118","","995","","1311","","1140","","1368","","1366","","1165","","1261","","837","","874",""
"Morocco","Inland waters","t","4805","","6405","","7636","","9364","","13302","","15562","","15652","","15586","","16134","F","16176","F","16161.5",""
"Mozambique","Inland waters","t","28036","","43814","","45033","","73708","","67717","","85441","","84880","","94153","","97322","","98856","","97147","F"
"Mozambique","Inland waters","no","566","","0",".","3449","","17058","","7234","","21977","","10781","","11161","","28854","","83868","","38868",""
"Myanmar","Inland waters","t","1356999","F","1455108.4","F","1557946.1","F","1559069","F","1657674","F","1708346","","1755235.83","","1807555.587","","1846547.556","","1876997.8","","1996001.623",""
"Namibia","Inland waters","t","2820","F","2822","F","2850.64","F","2859.38","F","2874.18","F","2910.17","F","2862.22","F","2835.04","F","2848.95","F","2874.59","F","2843.85","F"
"Namibia","Inland waters","no","0",".","600","","2","","200","","804","","1103","","274","","768","","706","","130","","0","-"
"Nepal","Inland waters","t","48750","","48230","","49730","","52450","","56000","","57520","","64900","","69500","","70543","","77157.1","","81070","F"
"Netherlands","Inland waters","t","10655","","9862","","8536","","6254","","5405","","8230","","7408","","7199","F","7180","F","6571","F","7836","F"
